Olet kuumana kesäpäivänä lennolla, huomaat, että sylinterinpään lämpötila lähestyy maksimia, tällöim?::2:lisään ilmanopeutta loiventamalla nousua:vähennän kaasua:vähennän ilmanopeutta:laihennan lisää::1 0 0 0::
Matkalennolla potkurinsäätövivulla voi säätää::2:potkurin kierroslukua:potkurin lapakulmia:porkurin kehänopeutta:kuvernöörin öljynpainetta::1 0 0 0::
"Heti käynnistämisen jälkeen tulisi tarkastaa käynnistimen (starter) varoitusvalo. Jos se palaa edelleen, tulee:"::2:Sammuttaa moottori välittömästi.:Seurata tilannetta 30 sekuntia ja sammuttaa moottori sen jälkeen, mikäli valo ei sammu.:"Sammuttaa moottori, laskea 30:een ja käynnistää moottori uudelleen":Ei tarvitse tehdä mitään. Käynnistimen varoitusvalo palaa aina, kun moottori on käynnissä::1 0 0 0::
"Eksymätaulukkoa tehdessä:"::2:"Ilma-aluksen kompassin näyttämää verrataan ""maa-"" tai ""perustason"" kompassin näyttämään":Mahdollistetaan ilma-aluksen tosisuunnan määrittäminen.:Mahdollistetaan ilma-aluksen erannon määrittäminen.:Mittaus voidaan suorittaa lentokentällä missä tahansa, kunhan paikka on kuiva ja tasainen.::1 0 0 0::
"Epätavallisen korkea öljyn lämpötila nelitahtimoottorissa voi olla merkki:"::2:Liian alhaisesta öljyn määrästä.:Liian korkeasta öljyn viskositeetista.:Liian suuresta öljyn määrästä.:Liian rikkaasta seoksesta::1 0 0 0::
Varoitusalue on nopeusalue, jolla koneella ei tule lentää muulloin kuin tyynessä säässä.Nopeusmittariin tämä alue on merkitty::2:keltaisella kaarella:punaisella kaarella:valkoisella kaarella:vihreällä kaarella::1 0 0 0::
Mitä säädetään pakokaasun lämpötilan mittarin (EGT) mukaan polttomoottorissa?::2:Polttoaine-ilmaseoksen laatua.:Öljynpainetta.:Öljynkulutusta.:Kaasuttimen jäätymistä.::1 0 0 0::
"Mikäli liu'un aikana ilmanopeusmittarin ja korkeusmittarin staattinen aukko menee tukkoon jään takia:"::2:Molemmat mittarit näyttävät todellista suurempaa arvoa.:Ilmanopeusmittari näyttää todellista suurempaa ja korkeusmittari pienempää arvoa.:Molemmat mittarit näyttävät todellista pienempää arvoa.:Ilmanopeusmittari näyttää todellista pienempää ja korkeusmittari suurempaa arvoa::1 0 0 0::
"Potkurin lavassa on kiertoa pituussuunnassa, jotta:"::2:Saavutetaan sopiva kohtauskulma tyvestä kärkeen.:Saavutetaan asteittain kasvava nousu tyvestä kärkeen.:Saavutetaan asteittain kasvava lapakulma tyvestä kärkeen.:Saadaan kompensoitua potkurin hidastuva ratanopeus tyvestä kärkeen.::1 0 0 0::
Pitot putki mittaa?::2:Kokonaispainetta:Staattista painetta:Staattista + kokonaispainetta:kokonaispainetta - Staattista painetta::1 0 0 0::
Mikäli kaartomittarin hyrrä pyörii suunnitteluarvoansa pienemmällä nopeudella, miten ilma-aluksen todellinen kaartonopeus ja kaartomittarin näyttämä eroavat toisistaan?::2:Ilma-aluksen todellinen kaartonopeus on suurempi, kuin mittarin näyttämä.:Ilma-aluksen todellinen kaartonopeus on pienempi, kuin mittarin näyttämä.:Kaartomittari ei näytä kaartonopeutta.:Ilma-aluksen todellinen kaartonopeus on sama, kuin mittarin näyttämä.::1 0 0 0::
"Miten käy  TAS:in jos Noustaan ylöspäin MACH:in pysyessä samana inversiokerroksessa?"::2:Kasvaa:Pysyy samana:Pienenee:Muuttuu käänteiseksi::1 0 0 0::
Minkä mukaan on määritelty lentopolttonesteiden nakutuskestävyys::2:MON oktaaniluku:RON oktaaniluku:SETA luku:ATSM luku::1 0 0 0::
"Seossuhteen säätämisen tarkoitus kasvavan korkeuden suhteen on:"::2:Pienentää polttoaineen virtausta ilman tiheyden pienenemisen kompensoimiseksi.:Kasvattaa polttoaineenkulutusta.:Lisätä polttoaineen virtausta ilmanpaineen pienenemisen kompensoimiseksi.:Pienentää polttoaineen virtausta ilman tiheyden kasvamisen kompensoimiseksi.::1 0 0 0::
"Liu'ussa vakioteholla, kiintopotkurilla varustetun ilma-aluksen moottorin 
kierrosluku:"::2:Kasvaa, mikäli ilmanopeuden annetaan kasvaa.:Pienenee, mikäli tehoasetusta ei muuteta.:Säilyy vakiona ilmanopeudesta riippumatta.:Pienenee, mikäli ilmanopeus kasvaa.::1 0 0 0::
"Polttomoottorin sisäisen lämpötilan hallinta on yleensä varmistettu 
lentomoottoreissa:"::2:Voiteluöljyn kierrolla.:Nestejäähdytyksen virtaamisella pakosarjan päältä.:Ilman virtaamisella pakosarjan päältä.:Oikein toimivalla termostaatilla.::1 0 0 0::
Mittari, jolla kaasuttimen kurkun jäätyminen voidaan lennolla tarkimmin ennustaa on::2:seoslämpömittari:sylinterinpään lämpömittari:pakokaasun lämpömittari:imuilman lämpömittari::1 0 0 0::
Ilmailumäntämoottoreissa tapahtuu sytytys::2:kiinteällä sytytysennakolla lukuunottamatta käynnistystapahtumaa (laukaisumagneetto):automaattisesti pyörintänopeuden mukaan säätyvällä sytytysennakolla:ennakolla, joka on riippuvainen kaasuvivun asennosta:sytytysennakolla, joka riippuu seosvivun asennosta::1 0 0 0::
Teet lentoonlähtöä kiitotieltä 27, lisäät kaasua ja vilkaiset magneettikompassia, tällöin huomaat, että kompassi ei näytä suuntaa W, vaan jotain muuta, mitä tämä muu on?::2:isompia kuin W (->270):pienempiä kuin W (<-270):lukema on W (270):lukema on E (090)::1 0 0 0::
"Pakokaasun lämpötilamittari:"::2:Pystyy ilmaisemaan, onko palokammion polttoaine-ilmaseos liian rikas tai laiha.:On mittari, joka on tarkoitettu suojaamaan moottoria liialliselta kuumentumiselta:Tarvitsee sähköä tasavirtakiskolta.:Tekee saman asian kuin sylinterinpään lämpötilamittari.::1 0 0 0::
Mitä tapahtuu seokselle kun kaasuttimen etulämmitys laitetaan päälle?::2:seos rikastuu:seos laihenee:ei mitään:seos häviää::1 0 0 0::
"Imuilman lämmityksen jatkuvaa käyttö tulisi välttää koska:"::2:Polttoaineen kulutus kasvaa:Teho vähenee:Teho kasvaa ja näin ollen rasittaa moottoria enenmmän:Moottori saattaa ylikuumentua::1 0 0 0::
Miten imuilman lämmitys yleisimmin toteutetaan?::2:Lämmönvaihtimella:Sähkövastuksella:Öljylämmittimellä:Vuodatusilmalla moottorista ::1 0 0 0::
Vakiokierrospotkurin pyörintänopeus lennolla::2: pysyy samana tehon ja/tai lentonopeuden muutoksista huolimatta: riippuu sekä tehoasetuksesta, että lentonopeudesta: riippuu vain kaasuvivun asennosta (=tehoasetus): kasvaa korkeuden lisääntyessä, vaikka kaasuvivun asentoa ei muuteta.::1 0 0 0::
Jos ilma on useita asteita standardilämpötilaa lämpimpää näyttää painekorkeusmittari::2:" QNH:lla merenpinnan tasossa silti oikein ": silti koko ajan oikein: jo 5000 jalan korkeudessa selvästi liian paljon: pienempiä korkeuksia kuin standardi-ilmakehän lämpötilassa koneen noustessa ::1 0 0 0::
"Renkaan liikkuminen vanteella (tyre creep):"::2:Voidaan tunnistaa renkaaseen ja vanteeseen piirretyn merkintäviivan siirtymisestä.:Voidaan estää liimaa käyttämällä.:Voidaan estää piirtämällä merkintäviiva renkaaseen ja vanteeseen.:Tarkoittaa ilma-aluksen liikkumista jarruja vasten.::1 0 0 0::
Lapakulma _____ potkurin tyvestä kärkeen, jotta saavutetaan optimaalinen _____ potkurin tyvestä kärkeen.::2:Pienenee, kohtauskulma:Kasvaa, tehollinen nousu:Pienenee, geometrinen nousu:Kasvaa, kohtauskulma::1 0 0 0::
Mitä lukemaa näyttää koneen ahtopainemittari kun moottori sammutetaan (elohopeatuuma asteikko)::2:~30:~40:~20:~10::1 0 0 0::
Mikä vaikutus on ilma-aluksen lentokelpoisuudelle sillä, että sitä ei huolleta lentokelpoisuustodistuksen mukaisen huoltoaikataulun mukaisesti?::2:Lentokelpoisuustodistus on pätemätön niin kauan, kunnes tarvittavat huoltotoimenpiteet ovat suoritettu.:Sillä ei ole vaikutusta lentokelpoisuustodistukseen.:Lentokelpoisuustodistus tulee uusia ennen kuin ilma-aluksella voi lentää.:Ilma-aluksen omistajan tulee hakea viranomaiselta poikkeuslupaa huoltoaikatauluun.::1 0 0 0::
mikä on AVGAS 100 LL oktaaniarvo::2:~108 RON:100 RON:80/87 MON:115/145 MON::1 0 0 0::
"Mittaritaulussasi alipainemittari näyttää vikaa järjestelmässä. Hyrrätoimiset mittarit toimivat kuitenkin normaalisti
eikä alipainejärjestelmän varoitusvalo pala. 
Missä epäilet vian olevan?"::2:Alipainemittarissa.:Alipainejärjestelmässä.:Alipainejärjestelmän varoitusvalossa.:Hyrrätoimisissa mittareissa.::1 0 0 0::
Minkä takia koneen ohjainpinnat on massatasapainotettu?::2:Flutterin ehkäisemiseksi:Vähentää tarvittavia ohjainvoimia:Toimii maassa puuskalukkona:Lisää flutterin mahdollisuutta::1 0 0 0::
"Magneetot ovat:"::2:Itsenäisiä, moottorin pyörittämiä generaattoreita, jotka tuottavat korkeajännitteistä sähköä kipinöitä varten:Nokka-akselin pyörittämiä generaattoreita, joita tarvitaan sähkölaitteita varten:"Laitteita, jotka tuottavat matalajännitteisen kipinän 
sytytystulpille.":Asennettu virranjakajaan ja toimivat samassa järjestyksessä, kuin sytytystulpat::1 0 0 0::
Olet lähdössä lennolle ja koneen lentopäiväkirjasta huomaat, että seuraavan 50 tunnin huolto tarvitsee tehdä tunnin päästä, olet kuitenkin suunnitellut 2 tunnin lennon, koneessa ei ole aikavalvottuja laitteita, miten toimit?::2:"Voit lentää suunnitelemasi lennon, koska koneella saa lentää vielä 6 lentotuntia, koska koneessa ei ole komponentteja jotka rajaisivat ""prosenttien"" käytön":Voit lentää yhden tunnin jonka jälkeen kone on huollettava:Et voi lentää lainkaan, sillä koneen huolto olisi pitänyt tehdä jo 4 lentotuntia sitten:Voit lentää lennon, jos huomioit OPS M1-1 määräykset::1 0 0 0::
Jos virranmittauskoje on asetettu laturin ja koneen sähköjärjestelmän väliin, voidaan siitä todeta?::2:Laturin kuormitus:laturin kuorma ja akun varaustila:Puretaanko akkua:Lataanko akkua::1 0 0 0::
"Yleisimmin alipainetta tarvitsevat:"::2:keinohorisontti ja suuntahyrrä:kaartomittari:magneettikompassi:ilmanopeusmittari::1 0 0 0::
Mitä näyttää ampeerimittari sijoitettuna virtakiskon ja generaattorin väliin?::2:järjestelmään menevän virran määrää:akun latausta:akun varausta:järjestelmän jännitettä::1 0 0 0::
Lentopintojen pystyetäisyys toisistaan on ::2: kylmällä ilmalla pienempi kuin lämpimällä: aina sama: päiväntasaajan seudulla pienempi kuin napaseuduilla : lämpimällä ilmalla pienempi kuin kylmällä::1 0 0 0::
Pumpputyyppisessä polttoainejärjestelmässä polttoaineen toimittaa tankeista kaasuttimeen normaaliolosuhteissa::2:mekaaninen polttoainepumppu:painovoima:sähköinen lisäpolttoainepumppu:imukanavassa vallitseva alipaine::1 0 0 0::
"Kuvan keinohorisontissa
